gene,sample,expression,organism,age,sex,infection,strain,time,tissue,mouse
Ccdc149,GSM2545336,1719,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Car15,GSM2545336,374,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Eny2,GSM2545336,3848,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Mroh1,GSM2545336,5434,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Pcyox1l,GSM2545336,597,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Ankrd39,GSM2545336,667,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Timeless,GSM2545336,590,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Sparc,GSM2545336,69090,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Slc7a10,GSM2545336,1347,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Ppp1r2,GSM2545336,6102,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Psmf1,GSM2545336,1693,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Adat1,GSM2545336,192,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Slc6a12,GSM2545336,343,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Snhg3,GSM2545336,404,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Prg4,GSM2545336,1197,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Plod1,GSM2545336,771,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Whamm,GSM2545336,1483,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Ttpa,GSM2545336,428,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Thbs3,GSM2545336,401,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Gltp,GSM2545336,1421,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Pex6,GSM2545336,1489,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Aim2,GSM2545336,305,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Ednrb,GSM2545336,5386,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Nuf2,GSM2545336,114,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Mog,GSM2545336,2065,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Ccl27a,GSM2545336,1441,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Tac4,GSM2545336,45,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Snhg8,GSM2545336,616,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Ak6,GSM2545336,263,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Kctd20,GSM2545336,2738,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Itgb4,GSM2545336,569,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Zfp810,GSM2545336,970,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Gm33489,GSM2545336,85,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Gna12,GSM2545336,1577,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Cyp4v3,GSM2545336,978,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Pkp4,GSM2545336,10610,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Agpat1,GSM2545336,2306,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Gipr,GSM2545336,90,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Edn3,GSM2545336,186,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Prr15,GSM2545336,90,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Traf1,GSM2545336,165,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Pim2,GSM2545336,1226,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Lrrc8a,GSM2545336,5236,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Erp44,GSM2545336,1654,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Tmem33,GSM2545336,5212,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Fen1,GSM2545336,989,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Tfap4,GSM2545336,571,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Lman2,GSM2545336,3152,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Senp8,GSM2545336,265,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Alg14,GSM2545336,710,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Ddah1,GSM2545336,4319,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Pomt1,GSM2545336,531,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Rab3b,GSM2545336,917,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Lrrc29,GSM2545336,140,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Nqo1,GSM2545336,686,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Gpr137b,GSM2545336,539,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Pcif1,GSM2545336,3272,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Qdpr,GSM2545336,4635,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Dcdc2b,GSM2545336,193,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Rap2a,GSM2545336,2161,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Cnpy4,GSM2545336,480,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Wdr41,GSM2545336,1463,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Gm20627,GSM2545336,13,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Mmaa,GSM2545336,1247,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Gm13562,GSM2545336,12,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Cd70,GSM2545336,16,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Itm2a,GSM2545336,1769,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Avil,GSM2545336,29,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Zscan22,GSM2545336,483,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Itgb3,GSM2545336,52,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Col11a2,GSM2545336,389,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Apoc1,GSM2545336,255,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Tmeff2,GSM2545336,2237,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Tyro3,GSM2545336,5545,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Ift22,GSM2545336,948,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Mtmr7,GSM2545336,3319,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Gabrr2,GSM2545336,178,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Ube2v2,GSM2545336,1911,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
C77080,GSM2545336,1832,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Elovl5,GSM2545336,3887,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Serinc5,GSM2545336,2456,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Pyroxd2,GSM2545336,142,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Ypel2,GSM2545336,1652,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Parp3,GSM2545336,547,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Xpo1,GSM2545336,4683,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Polr2a,GSM2545336,7881,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Tspyl4,GSM2545336,25681,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Irgm1,GSM2545336,640,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Cep131,GSM2545336,1345,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Sema4d,GSM2545336,3309,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Gbp6,GSM2545336,340,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Zfp119b,GSM2545336,387,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Eps15,GSM2545336,12463,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Pxmp2,GSM2545336,309,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Tomm40l,GSM2545336,1681,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Atat1,GSM2545336,1082,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Chrac1,GSM2545336,587,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Mrpl24,GSM2545336,1332,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Ipo9,GSM2545336,10792,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Actg1,GSM2545336,7267,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Noxred1,GSM2545336,31,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Gm20501,GSM2545336,208,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
H2-K1,GSM2545336,1883,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Lig1,GSM2545336,914,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Morn2,GSM2545336,195,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Dcakd,GSM2545336,961,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Nop14,GSM2545336,1399,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Bbs1,GSM2545336,1362,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Tada2b,GSM2545336,1775,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Gal3st1,GSM2545336,205,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Xpc,GSM2545336,1173,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Irf2bp2,GSM2545336,2747,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Spns2,GSM2545336,2875,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Pole,GSM2545336,208,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Fam78b,GSM2545336,1627,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Ggcx,GSM2545336,695,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Anks1,GSM2545336,2126,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Pgm2,GSM2545336,5325,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Zgrf1,GSM2545336,644,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Alkbh3,GSM2545336,759,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Dnd1,GSM2545336,26,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Lime1,GSM2545336,1612,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Trim23,GSM2545336,5526,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Abhd14a,GSM2545336,490,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Zkscan3,GSM2545336,1732,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Fam131b,GSM2545336,11825,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Elovl1,GSM2545336,631,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Trim72,GSM2545336,81,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Klhdc9,GSM2545336,228,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Iqck,GSM2545336,166,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Smim14,GSM2545336,7435,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Kcnab3,GSM2545336,2548,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Ing5,GSM2545336,846,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Cnnm3,GSM2545336,3136,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Fn3k,GSM2545336,906,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Cnp,GSM2545336,13472,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Uros,GSM2545336,597,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Eml1,GSM2545336,2567,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Lgals3,GSM2545336,168,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Gjb1,GSM2545336,545,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Dynll1,GSM2545336,2138,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Cyp2j12,GSM2545336,98,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Crip3,GSM2545336,10,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Sbk1,GSM2545336,20241,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Camkk2,GSM2545336,8561,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Setd7,GSM2545336,12395,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Btf3l4,GSM2545336,2694,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Acbd4,GSM2545336,1859,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Gm16835,GSM2545336,356,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Gpr37,GSM2545336,1924,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Prr5l,GSM2545336,546,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Slain1,GSM2545336,1858,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Calr,GSM2545336,8891,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Bst1,GSM2545336,54,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Fmnl3,GSM2545336,557,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Gpr89,GSM2545336,552,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Zranb1,GSM2545336,8837,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Col27a1,GSM2545336,456,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Emc8,GSM2545336,4140,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Ormdl3,GSM2545336,4058,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Capg,GSM2545336,198,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Zbtb21,GSM2545336,815,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Sord,GSM2545336,1153,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Tsc22d1,GSM2545336,10012,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Gpld1,GSM2545336,3774,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Cdh4,GSM2545336,684,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Hkdc1,GSM2545336,163,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Ggact,GSM2545336,1986,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Zfp493,GSM2545336,124,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Mkks,GSM2545336,1213,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Gm15423,GSM2545336,146,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Npas2,GSM2545336,344,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Plin4,GSM2545336,2284,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Rragc,GSM2545336,3899,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Nsun3,GSM2545336,793,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Hgsnat,GSM2545336,3735,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Acr,GSM2545336,165,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Ccdc167,GSM2545336,1140,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Thap1,GSM2545336,393,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Egfl8,GSM2545336,85,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Vps33a,GSM2545336,5585,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Igbp1,GSM2545336,1835,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Tbx6,GSM2545336,36,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Dcst2,GSM2545336,56,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Rbm28,GSM2545336,1640,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Pms1,GSM2545336,558,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Rtcb,GSM2545336,5106,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Smad9,GSM2545336,2384,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Ubxn2b,GSM2545336,656,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Rnf170,GSM2545336,2238,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Pithd1,GSM2545336,3277,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Steap3,GSM2545336,53,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Tomm20,GSM2545336,12447,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Klf15,GSM2545336,2619,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Amz2,GSM2545336,1585,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Folh1,GSM2545336,956,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Ubfd1,GSM2545336,2688,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Gpx3,GSM2545336,1045,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
C4b,GSM2545336,1162,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Mdfi,GSM2545336,345,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Nucb2,GSM2545336,460,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Clip4,GSM2545336,2217,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Tipin,GSM2545336,990,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Amy1,GSM2545336,1353,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Efhd1,GSM2545336,1670,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Smim15,GSM2545336,1897,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Zfp658,GSM2545336,712,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
E2f6,GSM2545336,1730,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Lix1,GSM2545336,379,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Coq4,GSM2545336,286,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Otoa,GSM2545336,98,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Mex3a,GSM2545336,147,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Tmem132c,GSM2545336,1669,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Dclk1,GSM2545336,14189,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Eml2,GSM2545336,5852,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Glyr1,GSM2545336,10017,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Gm1976,GSM2545336,606,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Smyd3,GSM2545336,1943,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Dcaf8,GSM2545336,9394,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Lias,GSM2545336,1412,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Msn,GSM2545336,2693,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Timmdc1,GSM2545336,540,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
H2-Q6,GSM2545336,148,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Asic3,GSM2545336,85,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Col5a3,GSM2545336,507,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Stx3,GSM2545336,3644,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
AW046200,GSM2545336,83,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Hsf1,GSM2545336,1293,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Colq,GSM2545336,121,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Rcor3,GSM2545336,1668,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Slc6a20a,GSM2545336,1389,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Prps1,GSM2545336,3015,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Keap1,GSM2545336,2757,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Tap2,GSM2545336,609,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Slc16a7,GSM2545336,1065,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Eif2b3,GSM2545336,818,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Flywch1,GSM2545336,16657,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Amigo2,GSM2545336,1353,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Hspd1,GSM2545336,7124,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Sost,GSM2545336,17,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Gm8615,GSM2545336,10,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Kcnk13,GSM2545336,140,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Tspyl2,GSM2545336,6901,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Spsb3,GSM2545336,3445,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Gm8493,GSM2545336,12,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Fgf22,GSM2545336,163,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Slc6a6,GSM2545336,7622,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Xist,GSM2545336,39967,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Ddx3y,GSM2545336,1,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Eif2s3y,GSM2545336,0,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Kdm5d,GSM2545336,0,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Uty,GSM2545336,0,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Eif2s3x,GSM2545336,2767,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Kdm6a,GSM2545336,3329,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Casp12,GSM2545336,407,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Ddx3x,GSM2545336,28751,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
